text,question,correct_answer,wrong_answer1,wrong_answer2,audio_path
"Widziałeś już ten nowy film, który wczoraj wszedł do kin? Podobno jest świetny i zbiera same pozytywne recenzje.",Co mówi rozmówca o filmie?,ma dobre opinie,w domu,jest nudny,audio/audio_4f0269c6-52c7-43cb-9456-0702bed1b704.mp3
"Koleżanka zapytała mnie, czy moglibyśmy spotkać się w kawiarni jutro o szóstej wieczorem. Powiedziała, że ma dla mnie ważną wiadomość.",O której godzinie odbędzie się spotkanie w kawiarni?,o szóstej wieczorem,o piątej rano,o siódmej wieczorem,audio/audio_322db5ee-268a-4d57-8cb2-c37c0b9071f8.mp3
"Słyszałem, że nowa kawiarnia na rogu serwuje wyśmienite desery, więc planuję ją odwiedzić jutro.",Co zamierza zrobić jutro osoba mówiąca?,Odwiedzić kawiarnię,Pracować w kawiarni,Otworzyć kawiarnię,audio/audio_c206f68d-79f0-4dc7-9927-e0e9b3e647ac.mp3
"Proszę pana, czy mógłby mi pan powiedzieć, o której odjeżdża ostatni autobus? Zwykle wracam do domu późno i nie chcę przegapić go dzisiaj.",O co pyta kobieta?,Godzinę odjazdu,Numer autobusu,Cena biletu,audio/audio_f8a44897-7abc-4598-988d-ade51431e73f.mp3
"Dzień dobry, czy mogłabym prosić kawę z mlekiem i ciastko czekoladowe? Dziękuję bardzo.",Co klientka chce zamówić?,kawę i ciastko,kawę i herbatę,herbatę i ciastko,audio/audio_ca780557-b389-4bd0-b819-ad6d60f5a5a7.mp3
"Widziałeś nową wystawę sztuki w galerii na rynku? Mówią, że jest naprawdę wyjątkowa i warto ją zobaczyć.",Co prowadząca sugeruje zrobić?,Odwiedzić wystawę,Zjeść obiad,Kupić obrazy,audio/audio_1974d204-9a61-4733-8647-450e324bdb7d.mp3
"Cześć, czy mógłbyś mi przypomnieć, o której godzinie mamy spotkanie z nowym klientem? Chciałbym się upewnić, że jestem dobrze przygotowany.",Jakiej informacji potrzebuje mówiący?,godzina spotkania,adres biura,kalendarz wydarzeń,audio/audio_ed31fbcc-4914-4ff3-ba4e-f96f97e003f7.mp3
Wczoraj byłem w sklepie po warzywa i owoce. Sprzedawczyni poleciła mi pyszne jabłka z lokalnego sadu.,Co kupił mężczyzna w sklepie?,jabłka,pomarańcze,gruszki,audio/audio_bce84f33-3042-4d8c-928b-1736bef1ceeb.mp3
"Czy mógłbyś mi podać numer do tego serwisu naprawy komputerów? Mój laptop znowu przestał działać, a muszę dokończyć projekt na jutro.",Jaki problem ma mówiąca osoba?,zepsuty laptop,brak Internetu,niedziałający telefon,audio/audio_dffbec88-2c74-41ff-ab95-ab5ed2b398d4.mp3
"Przepraszam, czy możesz mi powiedzieć, o której zaczyna się koncert w parku? Wydaje mi się, że startuje o 18:00, ale nie jestem pewien.",O której godzinie rozpoczęcie koncertu według rozmówcy?,o 18:00,o 20:00,o 17:00,audio/audio_bada68bd-59fc-446e-8201-5e0a5eb9399b.mp3
"Muszę znaleźć chwilę, żeby odebrać samochód z warsztatu. Od trzech dni czeka na przegląd, a ja ciągle nie mam czasu.",Dlaczego samochód czeka w warsztacie?,Przegląd,Mycie,Naprawa,audio/audio_2b11471c-7d3f-4af4-b7b5-9bfa6b06f0a9.mp3
"Czy mógłbyś zamknąć okno? Jestem przeziębiona i nie chciałabym, żeby zrobiło się chłodniej.",Dlaczego osoba prosi o zamknięcie okna?,Jest przeziębiona,Jest gorąca,Jest zła,audio/audio_834b7f50-539e-42be-87f9-0d5f651387ed.mp3
"Musimy się pospieszyć, niedługo przyjeżdża autobus, a następny jest dopiero za godzinę. Nasz plan na dzisiaj dosłownie się rozsypie, jeśli go przegapimy.","Co muszą zrobić, aby utrzymać plan?",Zdążyć na autobus,Iść na piechotę,Zmienić plan,audio/audio_a42b23e6-d04d-4d06-8ff0-eed13b302c54.mp3
"Hej, czy możesz wrzucić pranie do pralki, zanim wyjdziemy do kina? Czas nam się kończy, a nie zapomnisz?",Co trzeba zrobić przed wyjściem do kina?,Wrzucić pranie,Wziąć bilet,Kupić popcorn,audio/audio_65483694-7041-4e99-b0a0-0dfc36343b15.mp3
"Przepraszam, wie Pan może, gdzie znajdę najbliższy bankomat? Od wczoraj nie mogę wypłacić gotówki, a zaraz muszę iść na zakupy.",Co chce znaleźć osoba pytająca?,urządzenie bankowe,supermarket,aptekę,audio/audio_d2e715c1-9efc-47f5-9fdc-e45a0210bd3e.mp3
"Pakowałam już walizkę, bo jutro wcześnie rano mamy wylot do Barcelony. Upewniłam się, że wszystkie dokumenty są spakowane.",Dokąd wybiera się osoba mówiąca?,do Barcelony,do Paryża,do Rzymu,audio/audio_b138db41-a7d9-4506-8961-1a4c2d118a98.mp3
"Czy mógłbyś kupić chleb po drodze do domu? Skończył się nam, a jutro potrzebujemy go na śniadanie.",Co trzeba kupić wracając do domu?,pieczywo,mleko,obiad,audio/audio_415575bc-7783-4f38-9b4a-a72f76b3978a.mp3
"Cześć! Mam nadzieję, że w weekend będzie ładna pogoda, bo planuję wycieczkę rowerową z przyjaciółmi.",Co planuje zrobić osoba w weekend?,Jechać rowerem,Zwiedzać muzea,Uprawiać jogę,audio/audio_b40460d4-93f8-4e59-bfca-809157ed25e3.mp3
"Słyszałem, że nowa wystawa w muzeum sztuki nowoczesnej jest niesamowita. Planuję pójść tam w weekend.",Co planuje zrobić osoba mówiąca w weekend?,Odwiedzić muzeum,Iść na koncert,Zwiedzać park,audio/audio_804ee077-7c43-4121-b155-a2bfcc8aee45.mp3
"Przepraszam, czy mogłaby Pani przestawić ten samochód? Zajmuje dwa miejsca parkingowe.",Dlaczego osoba prosi o przestawienie samochodu?,Zajmuje dwa miejsca,Jest zablokowany,Jest za głośny,audio/audio_ed56eb7a-e22c-45e7-af6e-bbc1ed717a5d.mp3
